Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Autonomia,Napęd,Pojemność baterii,Rodzaj własności baterii,Emisja CO2,Filtr cząstek stałych,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Rodzaj koloru,Kierownica po prawej (Anglik),Kraj pochodzenia,Leasing,VAT marża,Faktura VAT,Okres gwarancji producenta,Możliwość finansowania,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,ABS,Apple CarPlay,Android Auto,Boczne poduszki powietrzne - tył,Boczna poduszka powietrzna kierowcy,CD,Centralny zamek,Elektryczne szyby przednie,Elektrycznie ustawiany fotel pasażera,Elektrycznie ustawiane lusterka,Immobilizer,Poduszka powietrzna kierowcy,Poduszka powietrzna pasażera,Radio fabryczne,Wspomaganie kierownicy,Alarm,Alufelgi,ASR (kontrola trakcji),Alarm ruchu poprzecznego z tyłu pojazdu,Asystent parkowania,Asystent hamowania awaryjnego w mieście,Asystent hamowania - Brake Assist,Aktywny asystent zmiany pasa ruchu,Asystent jazdy w korku,Aktywne rozpoznawanie znaków ograniczenia prędkości,Asystent (czujnik) martwego pola,Asystent świateł drogowych,Asystent zapobiegania kolizjom na skrzyzowaniu,Asystent pasa ruchu,Automatyczna kontrola zjazdu ze stoku,Boczne poduszki powietrzne - przód,Cyfrowy kluczyk,Czujnik deszczu,Czujnik martwego pola,Czujnik zmierzchu,Czujniki parkowania przednie,Czujniki parkowania tylne,Dach panoramiczny,Dach otwierany elektrycznie,Dostęp do internetu,Dynamiczne światła doświetlające zakręty,Dźwignia zmiany biegów wykończona skórą,Ekran dotykowy,Elektrochromatyczne lusterka boczne,Elektrochromatyczne lusterko wsteczne,Elektryczne szyby tylne,Elektrycznie ustawiane fotele,Elektryczny hamulec postojowy,Elektroniczny system rozdziału siły hamowania,Elektroniczna kontrola ciśnienia w oponach,Elektroniczna regul. charakterystyki zawieszenia,Elektrycznie ustawiany fotel kierowcy,ESP,Felgi aluminiowe od 21,Felgi aluminiowe 19,Fotele przednie wentylowane,Fotele przednie z funkcje masażu,Funkcja szybkiego ładowania,Gniazdo AUX,Gniazdo SD,Gniazdo USB,Hak,Hamulce z kompozytów ceramicznych,HUD (wyświetlacz przezierny),Interfejs Bluetooth,Isofix,Kabel do ładowania,Kamera panoramiczna 360,Kamera cofania,Kamera parkowania tył,Kamera w lusterku bocznym,Kierownica ze sterowaniem radia,Kierownica skórzana,Kierownica wielofunkcyjna,Kierownica sportowa,Kierownica ogrzewana,Klimatyzacja automatyczna,Klimatyzacja czterostrefowa,Klimatyzacja automatyczna: 3 strefowa,Klimatyzacja dwustrefowa,"Klimatyzacja automatyczna, dwustrefowa",Klimatyzacja automatyczna: 4 lub wiêcej strefowa,Klimatyzacja manualna,Klimatyzacja dla pasażerów z tyłu,Komputer pokładowy,Kontrola trakcji,Kontrola odległości od poprzedzającego pojazdu,Kontrola odległości z tyłu (przy parkowaniu),Kontrola odległości z przodu (przy parkowaniu),Kurtyny powietrzne - przód,Kurtyny powietrzne - tył,Keyless Go,Keyless entry,Lane assist - kontrola zmiany pasa ruchu,Lampy tylne w technologii LED,Lampy przednie w technologii LED,Lampy bi-ksenonowe,Lampy ksenonowe,Lampy doświetlające zakręt,Lampy przeciwmgielne,Lampy przeciwmgielne w technologii LED,Lusterka boczne ustawiane elektrycznie,Lusterka boczne składane elektrycznie,Ładowanie bezprzewodowe urządzeń,Łopatki zmiany biegów,MP3,Nawigacja GPS,Niezależny system parkowania,Odtwarzacz DVD,Ogranicznik prędkości,Ogrzewanie postojowe,Ogrzewane siedzenia tylne,Opony runflat,Opony letnie,Opony wielosezonowe,Oświetlenie drogi do domu,Oświetlenie wnętrza LED,Oświetlenie adaptacyjne,Park Assistant - asystent parkowania,Podgrzewana przednia szyba,Podgrzewane lusterka boczne,Podgrzewane przednie siedzenia,Podgrzewane tylne siedzenia,Podłokietniki - przód,Podłokietniki - tył,Poduszka powietrzna chroniąca kolana,Poduszki boczne przednie,Poduszki boczne tylne,Poduszka powietrzna centralna,Poduszka kolan kierowcy,Poduszka kolan pasażera,Poduszka powietrzna pasów bezpieczeństwa zm tyłu,Podgrzewany fotel pasażera,Przyciemniane szyby,Przyciemniane tylne szyby,Radio niefabryczne,Radio,Regulowane zawieszenie,Regul. elektr. podparcia lędźwiowego - kierowca,Regul. elektr. podparcia lędźwiowego - pasażer,Relingi dachowe,Rolety na bocznych szybach opuszczane ręcznie,Siedzenie z pamięcią ustawienia,Sportowe fotele - przód,Spryskiwacze reflektorów,Sterowanie funkcjami pojazdu za pomocą głosu,System minimalizujący skutki kolizji,System wspomagania hamowania,System ostrzegający o możliwej kolizji,System rekomendacji przerw podczas trasy,System powiadamiania o wypadku,System Start/Stop,System nawigacji satelitarnej,System odzyskiwania energii,System nagłośnienia,System hamowania awaryjnego dla ochrony pieszych,System rozpoznawania znaków drogowych,Szyberdach,Szyberdach szklany - przesuwny i uchylny elektrycz,Światła do jazdy dziennej,Światła LED,Światła do jazdy dziennej diodowe LED,Światła przeciwmgielne,Światła Xenonowe,Tapicerka skórzana,Tapicerka Alcantara,Tapicerka welurowa,Tempomat,Tempomat aktywny,Tempomat adaptacyjny ACC,Tuner TV,Uruchamianie silnika bez użycia kluczyków,Wielofunkcyjna kierownica,Wycieraczki,Wspomaganie ruszania pod górę- Hill Holder,Wyświetlacz typu Head-Up,Zmieniarka CD,Zawieszenie sportowe,Zawieszenie komfortowe,Zawieszenie powietrzne,Zawieszenie regulowane,Zewnętrzne oklejenie,Zestaw głośnomówiący,Zmiana biegów w kierownicy,Cena,Szczegóły ceny,Waluta
Prywatne,,Tak,Tak,Abarth,500,,,2013,87 600 km,1 368 cm3,Benzyna,160 KM,Manualna,,Na przednie koła,,,,,8 l/100km,Auta małe,3,4,Biały,,,,,,,,,,,Tak,,Tak,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,45000,,PLN
Prywatne,,Tak,Tak,Abarth,Grande Punto,,,2009,132 791 km,1 368 cm3,Benzyna,155 KM,Manualna,,Na przednie koła,,,,,,Auta małe,3,4,Biały,,Metalik,,Polska,,,,,Tak,,Tak,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34900,,PLN
Prywatne,,Tak,Tak,Abarth,500,,,2008,250 000 km,1 368 cm3,Benzyna+LPG,150 KM,Manualna,,Na przednie koła,,,,,,Auta miejskie,3,4,Biały,,Perłowy,,,,,,,,,Tak,,,,Używane,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,35500,,PLN
Prywatne,,Tak,Tak,Abarth,500,595 1.4 T-Jet 16v MTA,,2017,58 000 km,1 368 cm3,Benzyna,145 KM,Automatyczna,,Na przednie koła,,,134 g/km,,7 l/100km,Auta małe,3,4,Szary,,Metalik,,Francja,,,,,,,,,,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,64999,,PLN
Firma,,Tak,Tak,Abarth,595,,,2022,3 440 km,1 368 cm3,Benzyna,165 KM,Manualna,,Na przednie koła,,,,,,Kompakt,3,4,Szary,,Metalik,,,,Tak,,,Tak,,,,Tak,,Używane,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,104900,,PLN
Prywatne,,Tak,Tak,Abarth,500,595 1.4 T-Jet 16v,,2017,70 000 km,1 368 cm3,Benzyna,145 KM,Manualna,,Na przednie koła,,,,,,Auta małe,3,4,Biały,,,,Polska,,,,,,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,69900,,PLN
Prywatne,,Tak,Tak,Abarth,595,,,2018,38 000 km,1 400 cm3,Benzyna,165 KM,Manualna,,Na przednie koła,,,,,,Auta małe,3,4,Szary,,Metalik,,Francja,,,,,,,,,,,Używane,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,70000,,PLN
Prywatne,,Tak,Tak,Abarth,Punto Evo,,,2013,142 000 km,1 399 cm3,Benzyna,180 KM,Manualna,,Na przednie koła,,,,,,Auta małe,3,5,Szary,,Metalik,,Belgia,,,,,,,,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,45900,,PLN
Prywatne,,Tak,Tak,Abarth,595,,,2019,41 500 km,1 368 cm3,Benzyna,252 KM,Manualna,,Na przednie koła,,,,,,Auta małe,3,4,Czarny,,Metalik,,Polska,,,,,,,Tak,,Tak,,Używane,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,130000,,PLN
Prywatne,,Tak,Tak,Abarth,595,,,2018,52 000 km,1 400 cm3,Benzyna,145 KM,Automatyczna,,,,,,,,Kabriolet,3,,Szary,,,,Francja,,,,,,,,,,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,77700,,PLN
Prywatne,,Tak,,Abarth,595,,,2019,52 000 km,1 368 cm3,Benzyna,165 KM,Manualna,,Na przednie koła,,,,,,Auta małe,3,4,Biały,,,,Polska,,,,,,,Tak,,Tak,Tak,Używane,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,,82410,,PLN
Prywatne,,Tak,Tak,Abarth,Grande Punto,,,2008,128 200 km,1 368 cm3,Benzyna,180 KM,Manualna,,Na przednie koła,,,,,,Coupe,3,5,Czerwony,,,,Szwajcaria,,,,,,,Tak,,,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,35900,,PLN
Firma,,Tak,,Abarth,595,,,2016,39 000 km,1 368 cm3,Benzyna,145 KM,Manualna,,Na przednie koła,,,,,,Auta miejskie,3,4,Biały,,,,Polska,,Tak,,,,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,69900,,PLN
Firma,,Tak,Tak,Abarth,595,,,2020,30 600 km,1 368 cm3,Benzyna,145 KM,Manualna,,Na przednie koła,,,,,,Auta miejskie,3,4,Czerwony,,,,Polska,Tak,,Tak,,Tak,,Tak,,,,Używane,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,84800,,PLN
Prywatne,,Tak,,Abarth,595,,,2017,73 500 km,1 368 cm3,Benzyna,145 KM,Manualna,,Na przednie koła,,,,,,Auta miejskie,3,4,Żółty,,,,Polska,,,,,,,Tak,,Tak,Tak,Używane,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,60999,,PLN
Prywatne,,Tak,Tak,Abarth,595,,,2022,1 900 km,1 368 cm3,Benzyna,165 KM,Manualna,,Na przednie koła,,,,,,Auta małe,3,4,Biały,,Metalik,,Polska,,,,22 Grudnia 2025,,,Tak,,Tak,Tak,Używane,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,,108900,,PLN
Prywatne,,Tak,,Abarth,595,,,2017,75 000 km,1 395 cm3,Benzyna,150 KM,Manualna,,Na przednie koła,,,,,,Auta małe,3,4,Czarny,,Metalik,,,,,,,,,,,,,Używane,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,53700,,PLN
Firma,,Tak,Tak,Abarth,595,,,2017,95 000 km,1 368 cm3,Benzyna,146 KM,Manualna,,Na przednie koła,,,,,,Auta miejskie,3,4,Szary,,Metalik,,,,Tak,,,Tak,,,,,,Używane,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,55900,,PLN
Prywatne,,Tak,,Abarth,595,,,2018,39 000 km,1 400 cm3,Benzyna,145 KM,Automatyczna,,,,,,,,Auta miejskie,3,,Biały,,,,Polska,,,,,,,Tak,,Tak,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78500,,PLN
Prywatne,,Tak,Tak,Abarth,Grande Punto,,,2008,190 300 km,1 368 cm3,Benzyna,155 KM,Manualna,,Na przednie koła,,,,,,Kompakt,3,4,Czarny,,Metalik,,Szwajcaria,,,,,,,Tak,,,,Używane,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,22500,,PLN
Prywatne,,Tak,Tak,Abarth,595,,,2019,24 500 km,1 368 cm3,Benzyna,160 KM,Manualna,,,,,,,,Auta małe,3,4,Szary,,,,Polska,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76500,,PLN
Prywatne,,Tak,Tak,Abarth,500,,,2011,112 000 km,1 368 cm3,Benzyna,145 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,4,Szary,,Metalik,,Szwajcaria,,,,,,,Tak,,,Tak,Używane,1.0,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,1.0,49900,,PLN
