Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Autonomia,Napęd,Pojemność baterii,Rodzaj własności baterii,Emisja CO2,Filtr cząstek stałych,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Rodzaj koloru,Kierownica po prawej (Anglik),Kraj pochodzenia,Leasing,VAT marża,Faktura VAT,Okres gwarancji producenta,Możliwość finansowania,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,ABS,Apple CarPlay,Android Auto,Boczne poduszki powietrzne - tył,Boczna poduszka powietrzna kierowcy,CD,Centralny zamek,Elektryczne szyby przednie,Elektrycznie ustawiany fotel pasażera,Elektrycznie ustawiane lusterka,Immobilizer,Poduszka powietrzna kierowcy,Poduszka powietrzna pasażera,Radio fabryczne,Wspomaganie kierownicy,Alarm,Alufelgi,ASR (kontrola trakcji),Alarm ruchu poprzecznego z tyłu pojazdu,Asystent parkowania,Asystent hamowania awaryjnego w mieście,Asystent hamowania - Brake Assist,Aktywny asystent zmiany pasa ruchu,Asystent jazdy w korku,Aktywne rozpoznawanie znaków ograniczenia prędkości,Asystent (czujnik) martwego pola,Asystent świateł drogowych,Asystent zapobiegania kolizjom na skrzyzowaniu,Asystent pasa ruchu,Automatyczna kontrola zjazdu ze stoku,Boczne poduszki powietrzne - przód,Cyfrowy kluczyk,Czujnik deszczu,Czujnik martwego pola,Czujnik zmierzchu,Czujniki parkowania przednie,Czujniki parkowania tylne,Dach panoramiczny,Dach otwierany elektrycznie,Dostęp do internetu,Dynamiczne światła doświetlające zakręty,Dźwignia zmiany biegów wykończona skórą,Ekran dotykowy,Elektrochromatyczne lusterka boczne,Elektrochromatyczne lusterko wsteczne,Elektryczne szyby tylne,Elektrycznie ustawiane fotele,Elektryczny hamulec postojowy,Elektroniczny system rozdziału siły hamowania,Elektroniczna kontrola ciśnienia w oponach,Elektroniczna regul. charakterystyki zawieszenia,Elektrycznie ustawiany fotel kierowcy,ESP,Felgi aluminiowe od 21,Felgi aluminiowe 19,Fotele przednie wentylowane,Fotele przednie z funkcje masażu,Funkcja szybkiego ładowania,Gniazdo AUX,Gniazdo SD,Gniazdo USB,Hak,Hamulce z kompozytów ceramicznych,HUD (wyświetlacz przezierny),Interfejs Bluetooth,Isofix,Kabel do ładowania,Kamera panoramiczna 360,Kamera cofania,Kamera parkowania tył,Kamera w lusterku bocznym,Kierownica ze sterowaniem radia,Kierownica skórzana,Kierownica wielofunkcyjna,Kierownica sportowa,Kierownica ogrzewana,Klimatyzacja automatyczna,Klimatyzacja czterostrefowa,Klimatyzacja automatyczna: 3 strefowa,Klimatyzacja dwustrefowa,"Klimatyzacja automatyczna, dwustrefowa",Klimatyzacja automatyczna: 4 lub wiêcej strefowa,Klimatyzacja manualna,Klimatyzacja dla pasażerów z tyłu,Komputer pokładowy,Kontrola trakcji,Kontrola odległości od poprzedzającego pojazdu,Kontrola odległości z tyłu (przy parkowaniu),Kontrola odległości z przodu (przy parkowaniu),Kurtyny powietrzne - przód,Kurtyny powietrzne - tył,Keyless Go,Keyless entry,Lane assist - kontrola zmiany pasa ruchu,Lampy tylne w technologii LED,Lampy przednie w technologii LED,Lampy bi-ksenonowe,Lampy ksenonowe,Lampy doświetlające zakręt,Lampy przeciwmgielne,Lampy przeciwmgielne w technologii LED,Lusterka boczne ustawiane elektrycznie,Lusterka boczne składane elektrycznie,Ładowanie bezprzewodowe urządzeń,Łopatki zmiany biegów,MP3,Nawigacja GPS,Niezależny system parkowania,Odtwarzacz DVD,Ogranicznik prędkości,Ogrzewanie postojowe,Ogrzewane siedzenia tylne,Opony runflat,Opony letnie,Opony wielosezonowe,Oświetlenie drogi do domu,Oświetlenie wnętrza LED,Oświetlenie adaptacyjne,Park Assistant - asystent parkowania,Podgrzewana przednia szyba,Podgrzewane lusterka boczne,Podgrzewane przednie siedzenia,Podgrzewane tylne siedzenia,Podłokietniki - przód,Podłokietniki - tył,Poduszka powietrzna chroniąca kolana,Poduszki boczne przednie,Poduszki boczne tylne,Poduszka powietrzna centralna,Poduszka kolan kierowcy,Poduszka kolan pasażera,Poduszka powietrzna pasów bezpieczeństwa zm tyłu,Podgrzewany fotel pasażera,Przyciemniane szyby,Przyciemniane tylne szyby,Radio niefabryczne,Radio,Regulowane zawieszenie,Regul. elektr. podparcia lędźwiowego - kierowca,Regul. elektr. podparcia lędźwiowego - pasażer,Relingi dachowe,Rolety na bocznych szybach opuszczane ręcznie,Siedzenie z pamięcią ustawienia,Sportowe fotele - przód,Spryskiwacze reflektorów,Sterowanie funkcjami pojazdu za pomocą głosu,System minimalizujący skutki kolizji,System wspomagania hamowania,System ostrzegający o możliwej kolizji,System rekomendacji przerw podczas trasy,System powiadamiania o wypadku,System Start/Stop,System nawigacji satelitarnej,System odzyskiwania energii,System nagłośnienia,System hamowania awaryjnego dla ochrony pieszych,System rozpoznawania znaków drogowych,Szyberdach,Szyberdach szklany - przesuwny i uchylny elektrycz,Światła do jazdy dziennej,Światła LED,Światła do jazdy dziennej diodowe LED,Światła przeciwmgielne,Światła Xenonowe,Tapicerka skórzana,Tapicerka Alcantara,Tapicerka welurowa,Tempomat,Tempomat aktywny,Tempomat adaptacyjny ACC,Tuner TV,Uruchamianie silnika bez użycia kluczyków,Wielofunkcyjna kierownica,Wycieraczki,Wspomaganie ruszania pod górę- Hill Holder,Wyświetlacz typu Head-Up,Zmieniarka CD,Zawieszenie sportowe,Zawieszenie komfortowe,Zawieszenie powietrzne,Zawieszenie regulowane,Zewnętrzne oklejenie,Zestaw głośnomówiący,Zmiana biegów w kierownicy,Cena,Szczegóły ceny,Waluta
Firma,,Tak,,BMW-ALPINA,B8,,,2021,26 000 km,4 395 cm3,Benzyna,621 KM,Automatyczna,,4x4 (stały),,,,,,Sedan,5,5,Zielony,,Metalik,,Polska,,,Tak,,Tak,,Tak,,Tak,Tak,Używane,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,629900,,PLN
Prywatne,,Tak,Tak,BMW-ALPINA,B6,Biturbo Gran Coupe Switch-Tronic,,2017,88 000 km,4 395 cm3,Benzyna,600 KM,Automatyczna,,4x4 (dołączany automatycznie),,,242 g/km,,"14,30 l/100km",Sedan,4,5,Srebrny,,Metalik,,,,,,,,,Tak,,,Tak,Używane,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,299999,,PLN
Prywatne,,Tak,Tak,BMW-ALPINA,D5,Touring Bi-Turbo Switch-Tronic,,2012,193 300 km,2 993 cm3,Diesel,350 KM,Automatyczna,,Na tylne koła,,,163 g/km,,"7,60 l/100km",Kombi,5,5,Czarny,,,,,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114900,,PLN
Prywatne,,Tak,Tak,BMW-ALPINA,B7,Biturbo,,2018,134 000 km,4 395 cm3,Benzyna,608 KM,Automatyczna,,4x4 (stały),,,253 g/km,1.0,"15,90 l/100km",Sedan,4,,Biały,,,,,,,,,,,,,,,Używane,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,139000,,PLN
Prywatne,,Tak,Tak,BMW-ALPINA,B6,Biturbo Gran Coupe Switch-Tronic,,2014,122 000 km,4 395 cm3,Benzyna,600 KM,Automatyczna,,4x4 (dołączany automatycznie),,,236 g/km,,"14,30 l/100km",Coupe,4,5,Niebieski,,Perłowy,,Stany Zjednoczone,,,,,,,Tak,,Tak,Tak,Używane,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,205000,,PLN
Firma,,Tak,,BMW-ALPINA,B7,,,2021,86 233 km,4 395 cm3,Benzyna,608 KM,Automatyczna,,4x4 (dołączany automatycznie),,,,,"15,90 l/100km",Sedan,4,5,Zielony,,Metalik,,Polska,Tak,,Tak,,Tak,,Tak,,Tak,Tak,Używane,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,749900,,PLN
Firma,,Tak,Tak,BMW-ALPINA,D3,,,2010,82 677 km,1 995 cm3,Diesel,214 KM,Automatyczna,,Na tylne koła,,,,,,Sedan,4,5,Niebieski,,Metalik,,Inny,,Tak,,,Tak,,Tak,,Tak,,Używane,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,107700,,PLN
Firma,,,,BMW-ALPINA,B4,,,2022,5 km,2 993 cm3,Benzyna,495 KM,Automatyczna,,4x4 (stały),,,,,,Sedan,5,,Niebieski,,,,,Tak,,Tak,,Tak,,,,Tak,,Nowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115400,,EUR
Firma,,Tak,,BMW-ALPINA,B5,Biturbo Switch-Tronic,,2011,98 300 km,4 395 cm3,Benzyna,507 KM,Automatyczna,,Na tylne koła,,,,,15 l/100km,Sedan,4,5,Czarny,,Metalik,,Japonia,,,Tak,,Tak,,Tak,,Tak,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176900,,PLN
Prywatne,,Tak,,BMW-ALPINA,Inny,,,2005,255 400 km,1 995 cm3,Benzyna,150 KM,Manualna,,Na tylne koła,,,,,,Kombi,5,5,Czarny,,Metalik,,Belgia,,,,,,,Tak,,Tak,,Używane,1.0,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,12000,,PLN
